,Unnamed: 0.1,Unnamed: 0,metal_amount_mmol,ligand_amount_mmol,reductant_amount_mmol,sol1_vol_mL,solv2_vol_mL,time_min,temp_c,7,8,9,10,11,size_nm,g_factor*10^4.1
190,190,190,1.963575560835729,1.545880873647098,7.874446853664463,0.6435159533938174,3.624847804094357,-0.5355924730872634,-0.1763746768188848,1.0,49.0,15.0,9.0,4.0,0.9,1
191,191,191,-0.8192534186804323,-0.4524139054830568,-0.2684882322672935,-0.7458916181466898,-0.5251573428569705,-0.6514263633986239,-0.9970068536845296,6.0,39.0,15.0,9.0,1.0,20.0,0
192,192,192,-0.8192534186804323,-0.4524139054830568,-0.2684882322672935,-0.7458916181466898,-0.5251573428569705,-0.6514263633986239,-0.9970068536845296,6.0,37.0,15.0,9.0,1.0,20.0,0
193,193,193,-0.2654739346465528,-0.4523639443664948,-0.268569662703892,-0.6041487288374638,-0.5251573428569705,0.2173278139365799,-0.1763746768188848,6.0,35.0,15.0,9.0,1.0,50.0,11
194,194,194,-0.2654739346465528,-0.4524139054830568,-0.268569662703892,-0.6041487288374638,-0.5251573428569705,0.2173278139365799,-0.1763746768188848,6.0,35.0,15.0,9.0,1.0,50.0,7
195,195,195,-0.2654739346465528,-0.4524638665996188,-0.268569662703892,-0.6041487288374638,-0.5251573428569705,0.2173278139365799,-0.1763746768188848,6.0,35.0,15.0,9.0,1.0,50.0,5
196,196,196,-0.2654739346465528,-0.4525138277161808,-0.268569662703892,-0.6041487288374638,-0.5251573428569705,0.2173278139365799,-0.1763746768188848,6.0,35.0,15.0,9.0,1.0,50.0,2
197,197,197,0.5704196261593028,-0.2027582060227627,0.0028379824788159,-0.1746248218398096,-0.0064066994880546,-0.5355924730872634,-0.1763746768188848,6.0,79.0,15.0,9.0,4.0,1.05,15
198,198,198,0.5704196261593028,-0.2027582060227627,0.0028379824788159,-0.1746248218398096,-0.0064066994880546,-0.5355924730872634,-0.1763746768188848,6.0,79.0,15.0,9.0,4.0,1.3,10
199,199,199,0.5704196261593028,-0.3276609974277527,0.0028379824788159,-0.1746248218398096,-0.0064066994880546,-0.5355924730872634,-0.1763746768188848,6.0,79.0,15.0,9.0,4.0,1.05,7
200,200,200,0.5704196261593028,-0.3276609974277527,0.0028379824788159,-0.1746248218398096,-0.0064066994880546,-0.5355924730872634,-0.1763746768188848,6.0,79.0,15.0,9.0,4.0,1.3,3
